1   0 300.000000 -1.000000 0.000000 0.000000 0.100000 5.000000 0.000000 -42717.279000 21.428191 0.000000
2   3 300.000000 -1.000000 0.150000 0.150000 0.100000 5.000000 0.000000 -42779.623505 0.667029 0.000000
3   7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42566.669976 -7.159173 0.000000
4   9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42890.056590 -7.809624 0.000000
5   10 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42691.052522 -6.981737 0.000000
6   10 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42828.476933 -3.354660 0.000000
7   6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42768.712471 10.853819 0.000000
8   2 300.000000 -1.000000 0.100000 0.100000 0.100000 5.000000 0.000000 -42647.001284 16.777126 0.000000
9   0 300.000000 -1.000000 0.000000 0.000000 0.100000 5.000000 0.000000 -42841.901326 33.531385 0.000000
10  1 300.000000 -1.000000 0.050000 0.050000 0.100000 5.000000 0.000000 -42625.522456 18.961637 0.000000
11  0 300.000000 -1.000000 0.000000 0.000000 0.100000 5.000000 0.000000 -42901.785892 26.414199 0.000000
12  2 300.000000 -1.000000 0.100000 0.100000 0.100000 5.000000 0.000000 -42759.893009 -0.663718 0.000000
13  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42768.528217 0.461457 0.000000
14  4 300.000000 -1.000000 0.200000 0.200000 0.100000 5.000000 0.000000 -42761.237642 -0.689143 0.000000
15  6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42735.966771 -4.281682 0.000000
16  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42911.921124 -4.123733 0.000000
17  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42757.759203 -6.467220 0.000000
18  5 300.000000 -1.000000 0.250000 0.250000 0.100000 5.000000 0.000000 -42599.042490 -6.518932 0.000000
19  11 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42731.777204 -4.746061 0.000000
20  6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42696.470808 4.844151 0.000000
21  5 300.000000 -1.000000 0.250000 0.250000 0.100000 5.000000 0.000000 -42729.894701 -6.481911 0.000000
22  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42737.395464 -12.320335 0.000000
23  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42793.272973 -5.289012 0.000000
24  11 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42815.548253 -9.977940 0.000000
25  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42559.542727 -12.335400 0.000000
26  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42856.970200 -11.687563 0.000000
27  15 300.000000 -1.000000 0.700000 0.700000 0.100000 5.000000 0.000000 -42692.222043 -6.017307 0.000000
28  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42681.123641 -4.214024 0.000000
29  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42707.809484 -7.911090 0.000000
30  6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42707.877853 -8.827806 0.000000
31  15 300.000000 -1.000000 0.700000 0.700000 0.100000 5.000000 0.000000 -42619.982320 -8.980699 0.000000
32  11 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42544.983377 -6.481361 0.000000
33  9 300.000000 -1.000000 0.450000 0.450000 0.100000 5.000000 0.000000 -42534.325920 -2.989249 0.000000
34  12 300.000000 -1.000000 0.550000 0.550000 0.100000 5.000000 0.000000 -42681.263510 -9.379921 0.000000
35  14 300.000000 -1.000000 0.650000 0.650000 0.100000 5.000000 0.000000 -42554.200115 -13.545299 0.000000
36  18 300.000000 -1.000000 0.850000 0.850000 0.100000 5.000000 0.000000 -42611.636928 -17.256570 0.000000
37  20 300.000000 -1.000000 0.950000 0.950000 0.100000 5.000000 0.000000 -42851.643855 -15.676425 0.000000
38  20 300.000000 -1.000000 0.950000 0.950000 0.100000 5.000000 0.000000 -42622.690011 -16.268871 0.000000
39  18 300.000000 -1.000000 0.850000 0.850000 0.100000 5.000000 0.000000 -42761.117397 -19.831349 0.000000
40  16 300.000000 -1.000000 0.750000 0.750000 0.100000 5.000000 0.000000 -42758.000981 -9.805764 0.000000
41  14 300.000000 -1.000000 0.650000 0.650000 0.100000 5.000000 0.000000 -42478.763240 -8.007992 0.000000
42  10 300.000000 -1.000000 0.500000 0.500000 0.100000 5.000000 0.000000 -42682.842281 -12.648018 0.000000
43  14 300.000000 -1.000000 0.650000 0.650000 0.100000 5.000000 0.000000 -42693.586206 -11.801107 0.000000
44  18 300.000000 -1.000000 0.850000 0.850000 0.100000 5.000000 0.000000 -42564.273782 -14.290435 0.000000
45  19 300.000000 -1.000000 0.900000 0.900000 0.100000 5.000000 0.000000 -42799.453951 -17.143713 0.000000
46  18 300.000000 -1.000000 0.850000 0.850000 0.100000 5.000000 0.000000 -42636.446068 -12.543905 0.000000
47  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42851.302752 5.840237 0.000000
48  2 300.000000 -1.000000 0.100000 0.100000 0.100000 5.000000 0.000000 -42689.260681 17.428310 0.000000
49  2 300.000000 -1.000000 0.100000 0.100000 0.100000 5.000000 0.000000 -42650.092710 11.461363 0.000000
50  2 300.000000 -1.000000 0.100000 0.100000 0.100000 5.000000 0.000000 -42909.630916 15.812265 0.000000
51  4 300.000000 -1.000000 0.200000 0.200000 0.100000 5.000000 0.000000 -42574.245181 11.192843 0.000000
52  2 300.000000 -1.000000 0.100000 0.100000 0.100000 5.000000 0.000000 -42850.391930 15.677429 0.000000
53  1 300.000000 -1.000000 0.050000 0.050000 0.100000 5.000000 0.000000 -42690.923174 8.063310 0.000000
54  6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42710.589627 -0.216094 0.000000
55  6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42829.407196 0.285061 0.000000
56  8 300.000000 -1.000000 0.400000 0.400000 0.100000 5.000000 0.000000 -42701.214565 -3.515887 0.000000
57  7 300.000000 -1.000000 0.350000 0.350000 0.100000 5.000000 0.000000 -42771.691973 -3.961873 0.000000
58  6 300.000000 -1.000000 0.300000 0.300000 0.100000 5.000000 0.000000 -42608.801297 0.021090 0.000000
